DOY,LAI,ALB
134,2.544921875,0.052604999393224716
135,2.54609375,0.052604999393224716
136,2.547265625,0.054416999220848083
137,2.5484375,0.049605000764131546
138,2.561328125,0.05160500109195709
139,2.57421875,0.05160500109195709
140,2.587109375,0.05160500109195709
141,2.6,0.05160500109195709
142,2.60888671875,0.05360500141978264
143,2.6177734375000004,0.0509830005466938
144,2.6266601562500003,0.05479399859905243
145,2.635546875,0.05341700091958046
146,2.6500976562500003,0.05341700091958046
147,2.6646484375000004,0.05341700091958046
148,2.67919921875,0.04998299852013588
149,2.69375,0.0654430016875267
150,2.6953125,0.06385000050067902
151,2.6968750000000004,0.06309500336647034
152,2.6984375000000003,0.06360600143671036
153,2.7,0.06711400300264359
154,2.7,0.06573700159788132
155,2.7,0.0654670000076294
156,2.7,0.06452099978923798
157,2.7,0.06433200091123581
158,2.6,0.06414400041103363
159,2.5,0.0678969994187355
160,2.4,0.06703300029039383
161,2.3,0.06684400141239166
162,2.3,0.06754499673843384
163,2.3,0.06911200284957886
164,2.3,0.06716799736022949
165,2.3,0.06848999857902527
166,2.2624999999999997,0.06905700266361237
167,2.2249999999999996,0.06930100172758102
168,2.1875,0.06911300122737885
169,2.15,0.06652099639177322
170,2.0999999999999996,0.0661420002579689
171,2.05,0.06646700203418732
172,1.9999999999999998,0.06897900253534317
173,1.9499999999999997,0.06897900253534317
174,1.9499999999999997,0.06841199845075607
175,1.9499999999999997,0.06546799838542938
176,1.95,0.06690099835395813
177,1.95,0.06401000171899796
178,1.915625,0.06306400150060654
179,1.88125,0.06325399875640869
180,1.846875,0.06401000171899796
181,1.8125,0.06263100355863571
182,1.809375,0.06282000243663788
183,1.80625,0.06319800019264221
184,1.803125,0.06376399844884872
185,1.8,0.06435699760913849
186,1.8,0.06435699760913849
187,1.8,0.06573499739170074
188,1.8,0.06573499739170074
189,1.8,0.06573499739170074
190,1.8,0.06654799729585648
191,1.8,0.06697999686002731
192,1.8,0.06660100072622299
193,1.8,0.06892400234937668
194,1.775,0.06684400141239166
