DOY,SW,PAR,TA,VPD,CO2,PA,ALB
70,19.3209408,40.65110440850879,284.021,694.8,372.281,98883.0,0.21120706340298498
71,21.6861408,44.85093659999999,284.557,697.4,372.281,99441.0,0.19142967877752814
72,21.4097472,44.2803851999712,285.769,584.2,372.281,99602.0,0.19389624429497654
73,21.5748576,44.621199,285.72,613.7,372.281,99547.99999999999,0.19241527746059175
74,13.6289952,28.218131999999997,284.45500000000004,508.7,372.281,99375.0,0.30426537044370194
75,21.893155200000002,45.27825479999999,284.98100000000005,596.8,372.281,99180.0,0.1896230414386307
76,21.9691008,45.4349591999712,286.627,694.7,372.281,99398.0,0.18896903480029362
77,22.201516799999997,45.914878799971206,289.00100000000003,766.8,372.281,99553.0,0.18699385930241555
78,20.663769600000002,42.7403394000288,290.485,913.0000000000001,372.281,99427.0,0.20088283122532932
79,17.689968,36.6013602000288,291.151,825.2,372.281,99166.0,0.23457599223873987
80,21.487939200000003,44.4417066000288,289.53000000000003,580.6,372.281,99210.0,0.1931924096318055
81,21.601036799999996,44.67524219999999,288.28700000000003,426.6,372.281,99270.0,0.19218251459662553
82,20.857564799999995,43.1404542,287.71700000000004,433.1,372.281,99281.0,0.1990197030936517
83,19.5408288,40.4222058000288,287.843,469.6000000000001,372.281,99231.00000000001,0.212403064510724
84,19.3585248,40.0457952,287.44800000000004,546.9,372.281,99542.99999999999,0.21439954790083127
85,23.9382432,49.500045,287.196,777.9,372.281,99481.00000000001,0.17345035517057164
86,22.984992,47.53217699999999,288.73900000000003,1022.8,372.281,99476.0,0.18063133077639765
87,23.605343999999995,48.8127384,289.788,816.8,372.281,99374.0,0.17589261876382004
88,24.549782399999998,50.7624390000288,289.976,915.1,372.281,98948.0,0.16913687670138167
89,24.504595199999997,50.6692331999712,290.77500000000003,1183.9,372.281,99030.0,0.16944800313682581
90,24.617001600000002,50.90124779999999,291.221,1083.8,372.281,99060.0,0.16867563679272476
91,23.654419200000003,48.9140711999712,287.738,588.6,372.281,98632.0,0.17552823094828252
92,21.83544,45.159083999971195,283.151,564.8,372.281,98795.0,0.19012343975388774
93,25.696915200000003,53.1306162,281.312,576.1,372.281,99055.0,0.16159798248696539
