DOY,SW,TA,VPD,PA,PAR,CA,ALB
43,13.517400959999998,297.51000000000005,709.9399999999999,98606.6,28.448327415801597,400.66999999999996,0.02906310794459559
44,13.086437759999999,297.8684,753.4799999999999,98594.4,26.515860465952798,399.28475,0.026451409081781386
45,14.25121344,297.79920000000004,737.4200000000001,98605.2,30.90219276384,391.63424999999995,0.023485537273896143
46,12.899658239999999,297.3654,670.94,98619.6,27.3485262330648,392.34749999999997,0.026338901782205635
47,12.05915904,297.3226,720.76,98661.4,25.594616364501597,397.79024999999996,0.028486537544318676
48,14.3385984,297.80420000000004,740.8399999999999,98625.0,33.8107680116784,397.32700000000006,0.025448578976401404
49,12.54806208,297.2964,702.4400000000002,98613.0,24.3671950956312,397.36325000000005,0.030806795655137047
50,15.454195200000001,297.87960000000004,715.72,98563.2,32.5499929176744,394.60775,0.02551908389355837
51,11.55796992,297.5864,693.32,98565.2,22.3228646617176,394.42224999999996,0.02730504593813816
52,13.520338559999999,297.69360000000006,729.56,98568.6,29.043504541151997,396.91125,0.026193353544220508
53,13.70495808,297.68080000000003,754.38,98627.6,31.670378138289596,394.976,0.02700630018990836
54,14.3312544,297.6532000000001,708.9,98629.4,30.066409227261595,394.18899999999996,0.025180259946557298
55,17.47668096,298.24980000000005,813.56,98573.0,38.8978529361696,396.22075000000007,0.023100680050213714
56,13.105048319999998,297.39340000000004,662.66,98565.4,26.085419590916878,398.7335,0.029223518237011175
57,16.020927359999998,297.92600000000004,783.0,98568.2,37.239329034792,396.3375,0.0235779964010104
58,14.350728959999998,297.90760000000006,718.7,98526.0,28.9383637978656,393.09125,0.025581650419266674
59,11.42256384,297.4826,643.7,98548.0,27.802522215950404,399.93175,0.02354482460278552
60,11.657053439999999,297.60980000000006,676.1999999999999,98587.0,24.169306540910398,394.33125,0.026346823288759112
61,11.706042239999999,297.774,690.24,98587.4,26.5508069088312,393.4295,0.024545901433403673
62,13.935715199999999,297.80060000000003,684.26,98598.2,30.6022615851096,396.09349999999995,0.023322001807456805
63,14.75070912,297.89760000000007,690.5400000000001,98605.4,33.646761195681606,397.08975,0.024643613761591437
64,9.09726336,296.9196,657.8399999999999,98647.8,21.936667659551997,397.9385,0.030081141321966695
65,13.69381248,297.5412,661.1,98652.4,27.670428957455997,397.99949999999995,0.024149103945713866
66,14.849205119999999,297.97040000000004,754.22,98641.4,36.45671883884639,395.18175,0.02450692296115498
67,13.417747199999999,297.6794,749.1,98602.6,29.4625651595832,397.74850000000004,0.03022709724879877
68,16.18831872,297.9524,776.78,98609.0,35.3019260454696,394.1627500000001,0.027091908118856454
69,13.474131840000002,297.9268,711.0,98597.6,27.715607999978396,396.27225,0.025007169573609073
70,14.082560639999997,297.9682,784.8399999999999,98617.4,29.593332000007194,401.14025000000004,0.026925421006249863
